iou,precision,recall,f1,gt_voxels,pred_voxels,tp,fp,fn,sha256,category,shapenet_id
1.0,1.0,1.0,1.0,11902,11902,11902,0,0,car__10555502fa7b3027283ffcfc40c29975,car,
1.0,1.0,1.0,1.0,15269,15269,15269,0,0,car__107a17c6f2dd9c488924120dfad0e290,car,
1.0,1.0,1.0,1.0,12336,12336,12336,0,0,car__1100f9eac1ca426a3dc399576707b67,car,
1.0,1.0,1.0,1.0,6602,6602,6602,0,0,bus__101fe6e34502a89952470de2774d6099,bus,
1.0,1.0,1.0,1.0,10240,10240,10240,0,0,bus__11aa2ebb5db8b9f36922bf4a94dea1c5,bus,
1.0,1.0,1.0,1.0,6106,6106,6106,0,0,bus__150004fead49c0b2193d7855ecfc1bd3,bus,
1.0,1.0,1.0,1.0,16336,16336,16336,0,0,file_cabinet__109a19840a8fbc774c3aee8e9d3a6ffa,file_cabinet,
1.0,1.0,1.0,1.0,8224,8224,8224,0,0,file_cabinet__10f998ca3f52fd7991c352d02061b3f7,file_cabinet,
1.0,1.0,1.0,1.0,16340,16340,16340,0,0,file_cabinet__1201cc45cd7348c94c3aee8e9d3a6ffa,file_cabinet,
1.0,1.0,1.0,1.0,22238,22238,22238,0,0,cabinet__10c14b0cb76f87584da5feafe6f1c8fc,cabinet,
1.0,1.0,1.0,1.0,14879,14879,14879,0,0,cabinet__1175801334a9e410df3a1b0d597ce76e,cabinet,
1.0,1.0,1.0,1.0,40119,40119,40119,0,0,cabinet__11798e50090b6dcd0b36851d61b6fca,cabinet,
