iou,precision,recall,f1,gt_voxels,pred_voxels,tp,fp,fn,sha256,category,shapenet_id
0.9998423707440101,0.9998423707440101,1.0,0.9999211791597699,6343,6344,6343,1,0,bus__2f9aecaf8c5d8dffc90887194d8d151d,bus,2f9aecaf8c5d8dffc90887194d8d151d
1.0,1.0,1.0,1.0,5346,5346,5346,0,0,bus__7d9109eeba6fa218ceeb72b524f3e0ca,bus,7d9109eeba6fa218ceeb72b524f3e0ca
1.0,1.0,1.0,1.0,6085,6085,6085,0,0,bus__585f25e44777c5a1403c57e7ce69f902,bus,585f25e44777c5a1403c57e7ce69f902
1.0,1.0,1.0,1.0,17588,17588,17588,0,0,cabinet__bd7cae3c39773a4ed0a0c43e4971be14,cabinet,bd7cae3c39773a4ed0a0c43e4971be14
1.0,1.0,1.0,1.0,17535,17535,17535,0,0,cabinet__4e62d6e735b8bf2b90071898148dca0e,cabinet,4e62d6e735b8bf2b90071898148dca0e
1.0,1.0,1.0,1.0,22003,22003,22003,0,0,cabinet__1e95c521f70972a2f5758e5628273c4e,cabinet,1e95c521f70972a2f5758e5628273c4e
0.9996353470280783,0.9996353470280783,1.0,0.9998176402650295,8224,8227,8224,3,0,cars__f9e91a22776f3d8be9415adaaf77fdbf,cars,f9e91a22776f3d8be9415adaaf77fdbf
0.997218502111878,0.9980410351582637,0.9991742361684558,0.9986073141796048,9688,9699,9680,19,8,cars__35e4f3bca48aad294361eef216dfeaa6,cars,35e4f3bca48aad294361eef216dfeaa6
0.9995625068358307,0.9997812055573788,0.9997812055573788,0.9997812055573788,9141,9141,9139,2,2,cars__d47353fc60390df85d918097f81825e3,cars,d47353fc60390df85d918097f81825e3
0.999343573585401,0.9996060407091267,0.9997373259784608,0.9996716790334231,15228,15230,15224,6,4,file_cabinet__df26b9e9e3c642e0e7ecdbe73ef4323c,file_cabinet,df26b9e9e3c642e0e7ecdbe73ef4323c
1.0,1.0,1.0,1.0,12475,12475,12475,0,0,file_cabinet__1ba863365511363a91c352d02061b3f7,file_cabinet,1ba863365511363a91c352d02061b3f7
1.0,1.0,1.0,1.0,10002,10002,10002,0,0,file_cabinet__d88e590e79117ec7e7ecdbe73ef4323c,file_cabinet,d88e590e79117ec7e7ecdbe73ef4323c
